Wochentag,Wochentag,Uhrzeit,Frequentierung (absolut),Stoßzeiten_Label
Montag,Montag,06 Uhr,0,Geschlossen
Montag,Montag,07 Uhr,0,Geschlossen
Montag,Montag,08 Uhr,0,Geschlossen
Montag,Montag,09 Uhr,0,Geschlossen
Montag,Montag,10 Uhr,0,Geschlossen
Montag,Montag,11 Uhr,45,Normalerweise nicht zu stark besucht
Montag,Montag,12 Uhr,61,Normalerweise mäßig besucht
Montag,Montag,13 Uhr,71,Normalerweise mäßig besucht
Montag,Montag,14 Uhr,70,Normalerweise mäßig besucht
Montag,Montag,15 Uhr,63,Normalerweise mäßig besucht
Montag,Montag,16 Uhr,56,Normalerweise mäßig besucht
Montag,Montag,17 Uhr,57,Normalerweise mäßig besucht
Montag,Montag,18 Uhr,62,Normalerweise mäßig besucht
Montag,Montag,19 Uhr,61,Normalerweise mäßig besucht
Montag,Montag,20 Uhr,51,Normalerweise mäßig besucht
Montag,Montag,21 Uhr,33,Normalerweise nicht zu stark besucht
Montag,Montag,22 Uhr,0,Geschlossen
Montag,Montag,23 Uhr,0,Geschlossen
Dienstag,Dienstag,06 Uhr,0,Geschlossen
Dienstag,Dienstag,07 Uhr,0,Geschlossen
Dienstag,Dienstag,08 Uhr,0,Geschlossen
Dienstag,Dienstag,09 Uhr,0,Geschlossen
Dienstag,Dienstag,10 Uhr,0,Geschlossen
Dienstag,Dienstag,11 Uhr,54,Normalerweise mäßig besucht
Dienstag,Dienstag,12 Uhr,78,Normalerweise mäßig besucht
Dienstag,Dienstag,13 Uhr,85,Normalerweise am stärksten besucht
Dienstag,Dienstag,14 Uhr,88,Normalerweise am stärksten besucht
Dienstag,Dienstag,15 Uhr,100,Normalerweise am stärksten besucht
Dienstag,Dienstag,16 Uhr,94,Normalerweise am stärksten besucht
Dienstag,Dienstag,17 Uhr,71,Normalerweise mäßig besucht
Dienstag,Dienstag,18 Uhr,58,Normalerweise mäßig besucht
Dienstag,Dienstag,19 Uhr,58,Normalerweise mäßig besucht
Dienstag,Dienstag,20 Uhr,54,Normalerweise mäßig besucht
Dienstag,Dienstag,21 Uhr,38,Normalerweise nicht zu stark besucht
Dienstag,Dienstag,22 Uhr,0,Geschlossen
Dienstag,Dienstag,23 Uhr,0,Geschlossen
Mittwoch,Mittwoch,06 Uhr,0,Geschlossen
Mittwoch,Mittwoch,07 Uhr,0,Geschlossen
Mittwoch,Mittwoch,08 Uhr,0,Geschlossen
Mittwoch,Mittwoch,09 Uhr,0,Geschlossen
Mittwoch,Mittwoch,10 Uhr,0,Geschlossen
Mittwoch,Mittwoch,11 Uhr,32,Normalerweise nicht zu stark besucht
Mittwoch,Mittwoch,12 Uhr,48,Normalerweise nicht zu stark besucht
Mittwoch,Mittwoch,13 Uhr,52,Normalerweise mäßig besucht
Mittwoch,Mittwoch,14 Uhr,45,Normalerweise nicht zu stark besucht
Mittwoch,Mittwoch,15 Uhr,38,Normalerweise nicht zu stark besucht
Mittwoch,Mittwoch,16 Uhr,34,Normalerweise nicht zu stark besucht
